clean_text,Ticket Type
connection icon icon please setup icon per icon engineers please let details needed lead,Hardware
work experience user work experience user work experience student coming next name much appreciate duration,Access
requesting meeting requesting meeting please help follow equipments cable pc cord plug,Hardware
reset passwords external accounts expire days ask help update passwords colleagues expire days importance high received expiration please kindly help prolongation expire days importance high expire days order change please follow steps prerequisites disable device credentials close active connected cable machine note also follow steps detailed press ctrl alt delete pops change item enter format enter enter newly chosen enter submit displaying changed os machine browse enter format enter gear icon top tight browser window enter enter newly chosen enter save connected note complete resources granted connected cable browse tick want change logging enter format enter log enter enter newly chosen enter change clients suppliers expire please touch person communicate back encounter issues hesitate accessing,Access
mail verification warning got attached please addresses monitoring analyst verification warning,Miscellaneous
mail please looks blacklisted receiving mails anymore sample attached senior engineer,Miscellaneous
prod servers tunneling prod tunneling va la tunneling la host si la si host host cards port name bytes bytes seq bytes seq statistics packets transmitted received packet loss avg bytes bytes seq bytes seq acre tunneling si acre tunneling extended object host extended host extended object host range extended host range administrator sector acre tunneling va la si la tunneling design lead ext tunneling va extended object host extended host administrator sector tunneling va la tunneling users pinging bytes bytes bytes bytes bytes design lead ext con care pot partial strict si pot ale care va la contains proprietary information legally privileged unauthorized dissemination prohibited intended recipient views addressing transmission error misdirected please notify author replying intended recipient must disclose distribute copy print rely,Hardware
access request modules report report cost much,HR Support
reset passwords client passwords client please passwords,Access
direct reports missing time please action reports way help close maternity leave complete submit left technically left client work rd submit delete period days two public holidays possible add please action reports part established processes required submit weekly basis past must submitted receiving reports followed process please help cascade accordingly gets possible breakdown reports please note refers left maternity absence leave please update person record otherwise please person directly submit country total days,HR Support
laptop connected request rebuild connected rebuild please provide order debug sip trunk gateway wireless wired connected,Hardware
device recovery report printer alert duplex unit set device recovery report printer duplex unit printer details detected tray tray copier details detected tray scanner ready details model name device name comment host name printer name print name file name printer name zone name name computer name share name device printer printer notified,Miscellaneous
new starter please fill,HR Support
visual studio license visual studio license developer visual studio license developer,Access
system movement left available device please device denmark copenhagen denmark please source quotation shipping lead,Purchase
access secondary secondary please provide secondary ledger users please provide existing roles assigned users prod test please create analyst,Access
list copy copy receive copy behavior expect receive front developer,Purchase
new purchase po purchase po purchased received items lite updated include device user name link please add allocation device please log retrieve old device receive item please take consideration mandatory receipts section order receive item ordered video link please make return old device back accessories left receive receive old device take user name administrator,Purchase
invitation cloud strategy workshop february manchester invitation strategy workshop february manchester workshop forward colleague results campaign workshop reminder content workshop reminder ca cs dad ca trouble viewing view results campaign workshop reminder content workshop reminder cs dad ca assets images azure cs dad ca azure join cs dad ca manchester discuss journey unleash benefits powered azure workshop control optimise strategy tickets cs dad ca february discussing working opportunities digital give tools embrace perfect environment february sir busby way manchester information found control optimise strategy tickets cs dad ca please note places join workshop manchester february control optimise strategy tickets cs dad ca make february workshop interest march street campus birmingham join workshop birmingham control optimise strategy tickets cs dad ca assets images footer cs dad ca action campaign workshop reminder content workshop reminder ca cs dad ca road bb sr,Hardware
change sales owner contract change owner contract please log senior engineer contract id la ca la si si please merci owner yep,Miscellaneous
notification wireless devices upgrade cr medium wireless devices upgrade cr medium please announce users window wireless senior engineer cr medium summary software upgrade release approved please wait completed starting ref msg,Administrative rights
direct reports list amended oracle reports amended please call reports amended guys please help match correctly reports find please attached please move right attached move,HR Support
adding new printer xerox th floor printer floor tried add printer floor show printers add manually help required steps director central,HR Support
badge access removed badge removed please badge since working anymore,Access
system please make injector device device movement left available device please device denmark copenhagen denmark please source quotation shipping lead,Purchase
new purchase po purchase po purchased please log allocation item please take consideration mandatory receipts section order receive item ordered video link please receipt number item needed processed administrator,Purchase
check user accessibility user accessibility please log assign senior engineer please super,Access
annual leave annual leave please help absence record today please great analyst annual leave please help registering annual leave today take due urgent personal matters allow ongoing absence records please advise,HR Support
change project manager role oracle change role please change role starting discipline lead,Miscellaneous
laptop tomorrow trip senior developer mobile,Hardware
port opening port opening port machine packages provided subcontractors also also please add tunneling azure machines design lead ext,Hardware
network access received workstation granted ad please help,Hardware
new purchase po purchase po purchased please log allocation item please take consideration mandatory receipts section order receive item ordered video link please receipt number item needed processed administrator,Purchase
access card card va se,Access
undelivered mail returned sender undelivered returned getting undelivered messages instead actual complete messages issue side client undelivered returned host sorry inform attached assistance please please include problem report delete text attached returned host cluster said sorry blacklisted refer troubleshooting information rcpt command,Hardware
mailbox almost full mailbox almost mailbox almost senior infrastructure engineer infrastructure upcoming holiday none id,Storage
new purchase po purchase po purchased please log allocation please log retrieve old device receive item please take consideration mandatory receipts section order make receipt item ordered video link administrator,Purchase
opportunity pas known pipeline opportunity known pipeline please import bellow opportunity known pipeline opportunity id officer,Internal Project
shared folder access shared folder please assist creating shared folder well granting folder engineer,Storage
submit time cards approval please action submit cards keep getting reminders regarding complete left left october neither cannot enough update records please code days kindly update record head please action submit cards receiving cards submitted please note enough enter also make submit take corrective actions submitted card gets rejected breakdown submitted cards please submit accordingly possible country submitted cards card status entered entered total submitted cards submitted cards statuses explained error usually happens log calendar view period days delete causes timecard switch error fix add back deleted delete entire timecard right hand side menu recreate rejected card rejected approvers please card entries accordingly resubmit entered status timecard days entire timecard entered saved cards status passed entered validation gone next submission step card issues resolve please wait corresponding resolutions,HR Support
submit time cards approval notification please action submit cards queried alerts told ignore transition resolved arriving believe formally moved refer timecards old continue ignore alerts switched somehow think queried nearly four months ago alerts come every cheers editorial consultant please action submit cards receiving cards submitted please note enough enter also make submit take corrective actions submitted card gets rejected breakdown submitted cards please submit accordingly possible country submitted cards card status entered entered entered entered total submitted cards submitted cards statuses explained error usually happens log calendar view period days delete causes timecard switch error fix add back deleted delete entire timecard right hand side menu recreate rejected card rejected approvers please card entries accordingly resubmit entered status timecard days entire timecard entered saved cards status passed entered validation gone next submission step card issues resolve please wait corresponding resolutions,HR Support
new purchase po purchase po purchased matte display please log allocation receive item please take consideration mandatory receipts section order make receipt item ordered video link administrator,Purchase
need new guys please details hosted building hyper infrastructure location mandatory since client accept machine operating newer purposes cpu disk worry partitioning handle needs accessible networks also needs ports user root rights client machine operating newer purposes cpu disk needs accessible networks especially user rights client engineer,Hardware
new starter account republic macedonia kale building starter form induction please assist completion attached return form empty part officer,HR Support
clone self service dashboard clone self dashboard writing ask help cloning self widget report snow profile onto profile reason requesting uses reports monitor tickets logged self interest report available within consider needs also added member profile sd specialists please liaise please note snow engineer mobile,Miscellaneous
wants access requesting hardware equipment wants requesting hardware equipment monitor accept decline requests,Storage
need new groups testing crazy groups testing add users needed owner groups users members port test sitting dancing hammer muffin crazy,Miscellaneous
